Fighter,fight_number,opponent_name,win(1)/loss(0),Raw Perf,Opp Str,Adj Perf,Category,Event
Humberto Bandenay,2,Gabriel Benitez,0,43.375097269567426,0.542758383468261,1.7719969186675586,Outmatched performance,UFC Fight Night: Maia vs. Usman
Humberto Bandenay,3,Austin Arnett,0,42.83194617500252,0.5,38.54875155750227,High-level competitive fight,UFC Fight Night: Magny vs. Ponzinibbio
Humberto Bandenay,4,Eduardo Garagorri,0,46.453395926043214,0.5,41.80805633343889,High-level competitive fight,UFC Fight Night: Shevchenko vs. Carmouche 2
Vanessa Demopoulos,1,JJ Aldrich,0,42.42957269852599,0.5355289523744043,39.69409369634565,High-level competitive fight,UFC Fight Night: Barboza vs. Chikadze
Vanessa Demopoulos,2,Silvana Gomez Juarez,1,40.79093872565871,0.5,40.79093872565871,High-level competitive fight,UFC 270: Ngannou vs. Gane
Vanessa Demopoulos,3,Jinh Yu Frey,1,47.1458475834665,0.4887786466189919,46.61680736728527,High-level competitive fight,UFC Fight Night: Tsarukyan vs. Gamrot
Vanessa Demopoulos,4,Maria Oliveira,1,51.35970009676321,0.5,51.35970009676321,Effective performance,UFC Fight Night: Nzechukwu vs. Cutelaba
Vanessa Demopoulos,5,Karolina Kowalkiewicz,0,36.763576549070024,0.4732082190733426,32.10225720517994,High-level competitive fight,UFC Fight Night: Dern vs. Hill
Vanessa Demopoulos,6,Kanako Murata,1,43.995304376668294,0.5,43.995304376668294,High-level competitive fight,UFC Fight Night: Dawson vs. Green
Vanessa Demopoulos,7,Emily Ducote,1,42.320346249583714,0.4877344046437456,41.801262007149745,High-level competitive fight,UFC Fight Night: Barboza vs. Murphy
Vanessa Demopoulos,8,Jaqueline Amorim,0,39.84628687480223,0.5282097374929138,8.547808875407247,Outmatched performance,UFC Fight Night: Burns vs. Brady
Vanessa Demopoulos,9,Talita Alencar,0,38.30893517817894,0.5,34.47804166036105,High-level competitive fight,UFC Fight Night: Emmett vs. Murphy
Vanessa Demopoulos,10,Jamey-Lyn Horth,0,38.17363094528925,0.49327787066029194,34.099659766179805,High-level competitive fight,UFC Fight Night: Usman vs. Buckley
Roque Martinez,1,Alexandr Romanov,0,39.157915376392396,0.5,22.00674844153253,Outmatched performance,UFC Fight Night: Waterson vs. Hill
Roque Martinez,2,Don'Tale Mayes,0,46.44551510396398,0.5,41.80096359356758,High-level competitive fight,UFC Fight Night: Felder vs. Dos Anjos
Roque Martinez,3,Josh Parisian,0,46.06607645055373,0.5,41.45946880549836,High-level competitive fight,UFC Fight Night: Jung vs. Ige
Tainara Lisboa,1,Jessica-Rose Clark,1,48.823545683891396,0.5010327121247631,48.873966351493074,Effective performance,UFC Fight Night: Rozenstruik vs. Almeida
Tainara Lisboa,2,Ravena Oliveira,1,52.22705996952312,0.5,52.22705996952312,Effective performance,UFC Fight Night: Yusuff vs. Barboza
Tainara Lisboa,3,Luana Santos,0,37.43224829697178,0.5658486113728999,24.062419042088088,Ineffective performance,UFC Fight Night: Burns vs. Morales
Tainara Lisboa,4,Melissa Croden,0,43.51186428314806,0.5,37.94234565490511,High-level competitive fight,UFC Fight Night: De Ridder vs. Allen
Nah-Shon Burrell,1,Yuri Villefort,1,52.48388443397646,0.5,52.48388443397646,Effective performance,UFC 157: Rousey vs Carmouche
Nah-Shon Burrell,2,Stephen Thompson,0,43.64593858868444,0.5,39.28134472981599,High-level competitive fight,UFC 160: Velasquez vs Silva 2
Jack May,1,Derrick Lewis,0,49.66338501858001,0.5,13.061470259886542,Outmatched performance,UFC on FOX: Werdum vs Browne
Jack May,2,Shawn Jordan,0,39.395753969712636,0.4883259018603481,28.113669168606073,Ineffective performance,UFC Fight Night: Bader vs Saint Preux
Renan Barao,1,Cole Escovedo,1,58.9815782758121,0.5,58.9815782758121,Clear elite performance,UFC 130: Rampage vs Hamill
Renan Barao,2,Brad Pickett,1,49.6687948068459,0.5,49.6687948068459,Effective performance,UFC 138: Leben vs Munoz
Renan Barao,3,Scott Jorgensen,1,45.37774531671542,0.5,45.37774531671542,High-level competitive fight,UFC 143: Diaz vs Condit
Renan Barao,4,Urijah Faber,1,41.86502656123829,0.5265653694556343,42.97718645910752,High-level competitive fight,UFC 149: Faber vs Barao
Renan Barao,5,Michael McDonald,1,48.02295374537825,0.6223739068102982,53.89971021177043,Effective performance,UFC on FUEL TV: Barao vs McDonald
Renan Barao,6,Eddie Wineland,1,52.044463401191415,0.47980161267558896,50.993249171323015,Effective performance,UFC 165: Jones vs Gustafsson
Renan Barao,7,Urijah Faber,1,45.97193318233666,0.6234384331929321,51.646636585214466,Effective performance,UFC 169: Barao vs Faber 2
Renan Barao,8,TJ Dillashaw,0,37.05973615294154,0.5917445566856525,36.753791601886256,High-level competitive fight,UFC 173: Barao vs Dillashaw
Renan Barao,9,Mitch Gagnon,1,46.382902688746974,0.5922324896709947,50.660913281897585,Effective performance,UFC Fight Night: Machida vs Dollaway
Renan Barao,10,TJ Dillashaw,0,38.613528046793355,0.635144558821428,39.97058345453675,High-level competitive fight,UFC on FOX: Dillashaw vs. Barao II
Renan Barao,11,Jeremy Stephens,0,43.219448059699644,0.4875787300173907,38.36066282088079,High-level competitive fight,UFC Fight Night: Almeida vs Garbrandt
Renan Barao,12,Phillipe Nover,1,48.219552600987974,0.38192385340423357,42.52597363929144,High-level competitive fight,UFC Fight Night: Cyborg vs. Lansberg
Renan Barao,13,Aljamain Sterling,0,43.517328914535135,0.5953578105805425,43.31531323068503,High-level competitive fight,UFC 214: Cormier vs. Jones 2
Renan Barao,14,Brian Kelleher,0,46.39026325642475,0.5254412886168658,42.93146500730136,High-level competitive fight,UFC Fight Night: Emmett vs. Stephens
Renan Barao,15,Andre Ewell,0,47.283953560821686,0.5,42.55555820473952,High-level competitive fight,UFC Fight Night: Marreta vs. Anders
Renan Barao,16,Luke Sanders,0,45.250594860491006,0.46204422104668746,15.646547756918272,Outmatched performance,UFC Fight Night: Ngannou vs. Velasquez
Renan Barao,17,Douglas Silva de Andrade,0,43.01633954505508,0.47339018702407987,37.570048840346985,High-level competitive fight,UFC Fight Night: Blachowicz vs. Jacare
Hakeem Dawodu,1,Danny Henry,0,57.08895770212196,0.5,2.2264693503827564,Outmatched performance,UFC Fight Night: Werdum vs. Volkov
Hakeem Dawodu,2,Austin Arnett,1,48.509478157342315,0.5,48.509478157342315,Effective performance,UFC Fight Night: Alvarez vs. Poirier 2
Hakeem Dawodu,3,Kyle Bochniak,1,49.75321031684832,0.4430505618290448,46.91979294210243,High-level competitive fight,UFC 231: Holloway vs. Ortega
Hakeem Dawodu,4,Yoshinori Horie,1,49.69100670247747,0.5,49.69100670247747,Effective performance,UFC 240: Holloway vs. Edgar
Hakeem Dawodu,5,Julio Arce,1,46.310282531920166,0.5516843033319362,48.7037972216876,Effective performance,UFC 244: Masvidal vs. Diaz
Hakeem Dawodu,6,Zubaira Tukhugov,1,48.76201758227776,0.5659799424412691,51.97933269567659,Effective performance,UFC 253: Adesanya vs. Costa
Hakeem Dawodu,7,Movsar Evloev,0,41.04284143573835,0.6269696844517776,42.149753918264565,High-level competitive fight,UFC 263: Adesanya vs. Vettori 2
Hakeem Dawodu,8,Michael Trizano,1,54.56622318083941,0.555250516424475,57.581035190913944,Clear elite performance,UFC Fight Night: Hermansson vs. Strickland
Hakeem Dawodu,9,Julian Erosa,0,43.97924820217464,0.4796273290798495,38.68534863101865,High-level competitive fight,UFC 279: Diaz vs. Ferguson
Hakeem Dawodu,10,Cub Swanson,0,46.978632463409575,0.5349653746230252,43.92339470042915,High-level competitive fight,UFC Fight Night: Luque vs. Dos Anjos
Andreas Gustafsson,1,Khaos Williams,1,58.127700326914386,0.5636631107536416,61.828290550681224,Clear elite performance,UFC 316: Dvalishvili vs. O'Malley 2
Andreas Gustafsson,2,Rinat Fakhretdinov,0,23.798978027648143,0.6407498929310929,1.4861270300486544,Outmatched performance,UFC Fight Night: Imavov vs. Borralho
Jairzinho Rozenstruik,1,Junior Albini,1,47.00806876965056,0.4642954794703395,45.32966821320488,High-level competitive fight,UFC Fight Night: Assuncao vs. Moraes 2
Jairzinho Rozenstruik,2,Allen Crowder,1,79.54676392569702,0.5,79.54676392569702,Dominant performance,UFC Fight Night: Moicano vs. The Korean Zombie
Jairzinho Rozenstruik,3,Andrei Arlovski,1,49.85639996763772,0.5168018964331349,50.69408203642292,Effective performance,UFC 244: Masvidal vs. Diaz
Jairzinho Rozenstruik,4,Alistair Overeem,1,45.695794314608996,0.5680444797040023,48.80514086340767,Effective performance,UFC Fight Night: Overeem vs. Rozenstruik
Jairzinho Rozenstruik,5,Francis Ngannou,0,53.49577728206731,0.6549850100925749,1.254160958574043,Outmatched performance,UFC 249: Ferguson vs. Gaethje
Jairzinho Rozenstruik,6,Junior Dos Santos,1,51.48058192788909,0.5966983428748626,56.45866889054957,Effective performance,UFC 252: Miocic vs. Cormier 3
Jairzinho Rozenstruik,7,Ciryl Gane,0,39.63821057461616,0.6310575800766576,40.869277473632714,High-level competitive fight,UFC Fight Night: Rozenstruik vs. Gane
Jairzinho Rozenstruik,8,Augusto Sakai,1,45.912531985729515,0.5888197138313039,49.99046993797259,Effective performance,UFC Fight Night: Rozenstruik vs. Sakai
Jairzinho Rozenstruik,9,Curtis Blaydes,0,38.54632942323008,0.6096862885513947,38.9197002926206,High-level competitive fight,UFC 266: Volkanovski vs. Ortega
Jairzinho Rozenstruik,10,Alexander Volkov,0,36.76167238256953,0.583393905377118,5.302176670631749,Outmatched performance,UFC Fight Night: Volkov vs. Rozenstruik
Jairzinho Rozenstruik,11,Chris Daukaus,1,71.80395781833519,0.5658366898648457,76.53129272028939,Dominant performance,UFC 282: Blachowicz vs. Ankalaev
Jairzinho Rozenstruik,12,Jailton Almeida,0,35.2216217941919,0.6538959414744386,9.197492344681518,Outmatched performance,UFC Fight Night: Rozenstruik vs. Almeida
Jairzinho Rozenstruik,13,Shamil Gaziev,1,53.100676513285826,0.5,53.100676513285826,Effective performance,UFC Fight Night: Rozenstruik vs. Gaziev
Jairzinho Rozenstruik,14,Tai Tuivasa,1,49.60069162808803,0.5018640915231036,49.69315185689202,Effective performance,UFC 305: Du Plessis vs. Adesanya
Jairzinho Rozenstruik,15,Sergei Pavlovich,0,39.22884090262955,0.5812814626543825,38.49453437916839,High-level competitive fight,UFC Fight Night: Adesanya vs. Imavov
Patchy Mix,1,Mario Bautista,0,40.01347017800039,0.6637511054777527,42.564373135849,High-level competitive fight,UFC 316: Dvalishvili vs. O'Malley 2
Patchy Mix,2,Jakub Wiklacz,0,54.72788252216218,0.5,49.255094269945964,Effective performance,UFC 320: Ankalaev vs. Pereira 2
Joachim Christensen,1,Henrique da Silva,0,43.836707097831486,0.5,25.55680023803576,Ineffective performance,UFC Fight Night: Lineker vs. Dodson
Joachim Christensen,2,Bojan Mihajlovic,1,47.963563123684324,0.5,47.963563123684324,High-level competitive fight,UFC Fight Night: Rodriguez vs. Penn
Joachim Christensen,3,Gadzhimurad Antigulov,0,39.65377192776926,0.5,5.591181841815466,Outmatched performance,UFC 211: Miocic vs. Dos Santos
Joachim Christensen,4,Dominick Reyes,0,35.71518947850391,0.5,1.0357404948766133,Outmatched performance,UFC Fight Night: Chiesa vs. Lee
Karine Gevorgyan,1,Rachael Ostovich,0,41.481587432957554,0.5,4.148158743295755,Outmatched performance,The Ultimate Fighter: A New World Champion Finale
Shane Nelson,1,George Roop,1,51.816672548854555,0.5,51.816672548854555,Effective performance,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Shane Nelson,2,Aaron Riley,1,46.37627646906593,0.4624771930932409,44.636108402062696,High-level competitive fight,UFC 96: Jackson vs Jardine
Shane Nelson,3,Aaron Riley,0,39.69420913261507,0.4266051633104472,32.811438222544325,High-level competitive fight,UFC 101: Declaration
Shane Nelson,4,Matt Wiman,0,40.74869986175039,0.5371207638437426,38.186452740082935,High-level competitive fight,UFC 107: Penn vs Sanchez
Harry Hardwick,1,Kaue Fernandes,0,37.81090895346072,0.5348713917992212,7.8944619475351185,Outmatched performance,UFC Fight Night: Imavov vs. Borralho
Harry Hardwick,2,Marwan Rahiki,0,41.683851576749916,0.5,25.010310946049948,Ineffective performance,UFC Fight Night: Emmett vs. Vallejos
Manny Bermudez,1,Albert Morales,1,46.85401372245455,0.3818719975557583,41.31924267492591,High-level competitive fight,UFC Fight Night: Emmett vs. Stephens
Manny Bermudez,2,Davey Grant,1,48.013987538870765,0.4643097951300521,46.300358486985346,High-level competitive fight,UFC Fight Night: Shogun vs. Smith
Manny Bermudez,3,Benito Lopez,1,56.764826084469895,0.5,56.764826084469895,Clear elite performance,UFC Fight Night: Ngannou vs. Velasquez
Manny Bermudez,4,Casey Kenney,0,51.37059692166366,0.5,46.233537229497294,High-level competitive fight,UFC 241: Cormier vs. Miocic 2
Manny Bermudez,5,Charles Rosa,0,58.824618202642796,0.45813156664676147,9.310619394172026,Outmatched performance,UFC Fight Night: Reyes vs. Weidman
Dominic Waters,1,George Sullivan,0,46.57182843130253,0.524811274794545,43.07015202106573,High-level competitive fight,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
Dominic Waters,2,Dong Hyun Kim,0,,0.6297016732290146,,Outmatched performance,UFC Fight Night: Henderson vs Masvidal
Dominic Waters,3,Leon Edwards,0,48.879939782619125,0.5058834492413737,44.27952844898966,High-level competitive fight,UFC Fight Night: Overeem vs Arlovski
Roland Payne,1,Harold Howard,0,,0.5,,Outmatched performance,UFC 3: The American Dream
Dominick Reyes,1,Joachim Christensen,1,73.96433246799934,0.45715877634330315,70.7956099581195,Dominant performance,UFC Fight Night: Chiesa vs. Lee
Dominick Reyes,2,Jeremy Kimball,1,53.87703599252157,0.5,53.87703599252157,Effective performance,UFC 218: Holloway vs. Aldo 2
Dominick Reyes,3,Jared Cannonier,1,48.134578468876626,0.48977718519841174,47.642507587636786,High-level competitive fight,UFC Fight Night: Maia vs. Usman
Dominick Reyes,4,Ovince Saint Preux,1,53.64709368250734,0.5607061521571314,56.903802314385516,Clear elite performance,UFC 229: Khabib vs. McGregor
Dominick Reyes,5,Volkan Oezdemir,1,42.56177051210715,0.5285270958525313,43.77593421915947,High-level competitive fight,UFC Fight Night: Till vs. Masvidal
Dominick Reyes,6,Chris Weidman,1,54.29565158559367,0.6166279516613737,60.628042214141075,Clear elite performance,UFC Fight Night: Reyes vs. Weidman
Dominick Reyes,7,Jon Jones,0,43.96304293141169,0.71423867369688,48.98532264757515,Effective performance,UFC 247: Jones vs. Reyes
